,Level,MaxExp
1,1,10
2,2,40
3,3,90
4,4,160
5,5,250
6,6,360
7,7,490
8,8,640
9,9,810
10,10,1000
11,11,1210
12,12,1440
13,13,1690
14,14,1960
15,15,2250
16,16,2560
17,17,2890
18,18,3240
19,19,3610
20,20,4000
21,21,4410
22,22,4840
23,23,5290
24,24,5760
25,25,6250
26,26,6760
27,27,7290
28,28,7840
29,29,8410
30,30,9000
31,31,9610
32,32,10240
33,33,10890
34,34,11560
35,35,12250
36,36,12960
37,37,13690
38,38,14440
39,39,15210
40,40,16000
41,41,16810
42,42,17640
43,43,18490
44,44,19360
45,45,20250
46,46,21160
47,47,22090
48,48,23040
49,49,24010
50,50,25000
51,51,26010
52,52,27040
53,53,28090
54,54,29160
55,55,30250
56,56,31360
57,57,32490
58,58,33640
59,59,34810
60,60,36000
61,61,37210
62,62,38440
63,63,39690
64,64,40960
65,65,42250
66,66,43560
67,67,44890
68,68,46240
69,69,47610
70,70,49000
71,71,50410
72,72,51840
73,73,53290
74,74,54760
75,75,56250
76,76,57760
77,77,59290
78,78,60840
79,79,62410
80,80,64000
